,City,Temp,Humidity,Cloudiness,Wind Speed,Latitude,Longitude
0,Chui,68.63,85,0,13.29,-33.7,-53.46
1,Port Alfred,66.99,85,60,5.01,-33.59,26.89
2,Berlevag,24.1,67,65,23.0,70.86,29.09
3,Camacha,60.03,77,20,6.93,33.08,-16.33
4,Naze,64.4,52,75,12.75,28.37,129.48
5,Mount Isa,77.0,100,75,13.87,-20.73,139.5
6,Atuona,80.91,79,32,13.62,-9.8,-139.03
7,Rikitea,79.79,78,100,6.22,-23.12,-134.97
8,Pangnirtung,-28.75,88,7,4.25,66.15,-65.71
9,Qaanaaq,-13.77,92,100,5.79,77.48,-69.36
10,Mareeba,75.74,94,90,5.82,-17.0,145.43
11,Bubaque,76.98,75,42,9.51,11.28,-15.83
12,Pacific Grove,52.05,93,75,11.41,36.62,-121.92
13,Tiksi,-15.88,87,99,6.51,71.69,128.87
14,Sao Filipe,71.13,67,11,18.39,14.9,-24.5
15,Biak,82.69,81,46,10.31,-0.91,122.88
16,Castro,63.79,99,33,5.88,-24.79,-50.01
17,Ushuaia,42.8,81,75,31.09,-54.8,-68.3
18,Pevek,-11.33,98,100,12.73,69.7,170.31
19,Barrow,-27.4,74,1,6.42,71.29,-156.79
20,Vestmannaeyjar,34.66,66,0,7.29,63.44,-20.27
21,Dikson,-18.06,95,100,14.38,73.51,80.55
22,Yangi Marg`ilon,29.1,74,0,6.93,40.43,71.72
23,Albany,28.67,73,90,9.17,42.6,-73.97
24,Punta Arenas,44.29,75,40,20.8,-53.15,-70.92
25,Puerto Ayora,73.99,11,39,1.99,-0.74,-90.35
26,Ponta do Sol,56.03,77,20,6.93,32.67,-17.1
27,Hilo,71.6,51,1,8.05,19.73,-155.09
28,Auki,85.28,71,100,4.74,-8.77,160.7
29,Tuatapere,55.0,90,100,15.99,-46.13,167.68
30,Busselton,80.78,27,32,7.54,-33.65,115.33
31,Jamestown,28.31,92,90,10.29,42.1,-79.24
32,Bethel,33.85,69,75,16.11,41.37,-73.41
33,Nikolskoye,29.44,92,90,11.18,59.7,30.79
34,Pisco,73.58,78,90,10.29,-13.7,-76.22
35,New Norfolk,76.53,38,87,12.75,-42.78,147.06
36,Cape Town,65.57,100,75,8.05,-33.93,18.42
37,Rio Grande,73.0,84,0,15.95,-32.03,-52.1
38,Vaini,80.6,88,75,4.7,-21.2,-175.2
39,Bengkulu,72.45,94,100,13.62,-3.8,102.27
40,Carballo,55.58,87,100,8.05,43.21,-8.69
41,Nefteyugansk,-20.2,75,95,11.18,61.1,72.6
42,Yarmouth,35.56,59,90,6.93,41.71,-70.23
43,Maraba,75.2,100,74,0.58,-5.37,-49.12
44,Lambari,69.01,91,100,3.53,-21.98,-45.35
45,Quattro Castella,43.0,81,28,6.93,44.63,10.47
46,Mariel,71.28,94,75,3.36,22.99,-82.75
47,Shache,24.15,62,51,4.88,38.42,77.24
48,Kurilsk,26.92,69,76,9.1,45.23,147.88
49,Hobart,76.53,38,78,12.75,-42.88,147.33
50,Khasan,29.73,59,100,7.27,42.43,130.64
51,Sorland,31.23,79,80,16.42,67.67,12.69
52,Mar del Plata,73.13,57,100,6.93,-38.0,-57.56
53,Xining,21.38,31,0,5.3,36.62,101.77
54,Kathmandu,51.8,81,20,0.49,27.72,85.32
55,Butaritari,83.08,78,100,10.54,3.07,172.79
56,San Julian,58.33,24,0,7.09,21.02,-102.17
57,Chake Chake,81.23,84,65,13.44,-5.25,39.77
58,Patacamaya,44.44,92,57,5.5,-17.23,-67.92
59,Barra de Tecoanapa,74.84,78,2,2.35,16.52,-98.75
60,Asau,36.12,100,100,12.75,46.43,26.4
61,Honiara,89.6,75,20,8.05,-9.43,159.95
62,Ahipara,69.22,88,100,11.52,-35.17,173.17
63,Yelizovo,28.4,63,17,2.24,53.19,158.38
64,Hermanus,64.54,98,89,1.01,-34.42,19.23
65,Port Augusta,91.4,24,0,6.93,-32.5,137.77
66,College,-26.32,73,1,4.54,64.86,-147.8
67,Ludvika,34.68,93,100,9.17,60.15,15.19
68,Akdepe,26.11,79,0,6.93,42.06,59.38
69,Makat,23.97,86,62,13.4,47.65,53.35
70,Geraldton,77.0,61,0,14.99,-28.77,114.6
